year,state,total_vote,d,r,margin
1856,ALABAMA,75291,46739,NA,NA
1856,ARKANSAS,32642,21910,NA,NA
1856,CALIFORNIA,110255,53342,20704,29.602285610629902
1856,CONNECTICUT,80360,35028,42717,-9.5681931309109
1856,DELAWARE,14598,8004,310,52.705850116454315
1856,FLORIDA,11191,6358,NA,NA
1856,GEORGIA,99020,56581,NA,NA
1856,ILLINOIS,239334,105528,96275,3.866145219651196
1856,INDIANA,235401,118670,94375,10.320686828008371
1856,IOWA,92310,37568,45073,-8.130213411331383
1856,KENTUCKY,142058,74642,NA,NA
1856,LOUISIANA,42873,22164,NA,NA
1856,MAINE,109689,39140,67279,-25.65343835753814
1856,MARYLAND,86860,39123,285,44.71333179829611
1856,MASSACHUSETTS,170048,39244,108172,-40.53443733534061
1856,MICHIGAN,125558,52136,71762,-15.631023112824357
1856,MISSISSIPPI,59647,35456,NA,NA
1856,MISSOURI,106486,57964,NA,NA
1856,NEW HAMPSHIRE,69774,31891,37473,-8.000114655889018
1856,NEW JERSEY,99396,46943,28338,18.718057064670607
1856,NEW YORK,596486,195878,276004,-13.433005971640572
1856,NORTH CAROLINA,84963,48243,NA,NA
1856,OHIO,386640,170874,187497,-4.299348230912475
1856,PENNSYLVANIA,460937,230772,147963,17.96536186073151
1856,RHODE ISLAND,19822,6680,11467,-24.149934416305115
1856,SOUTH CAROLINA,NA,NA,NA,NA
1856,TENNESSEE,133582,69704,NA,NA
1856,TEXAS,48005,31995,NA,NA
1856,VERMONT,50675,10569,39561,-57.2116428219043
1856,VIRGINIA,150233,90083,NA,NA
1856,WISCONSIN,120513,52843,67090,-11.821961116228133
1860,ALABAMA,90357,13651,NA,NA
1860,ARKANSAS,54053,5227,NA,NA
1860,CALIFORNIA,118840,38516,39173,-0.5528441602154155
1860,CONNECTICUT,80745,17364,43486,-32.35122917827729
1860,DELAWARE,16097,1069,3816,-17.06529166925514
1860,FLORIDA,14347,367,NA,NA
1860,GEORGIA,106794,11613,NA,NA
1860,ILLINOIS,339691,160205,172171,-3.522613198465663
1860,INDIANA,272143,115509,139033,-8.643984963787416
1860,IOWA,128331,55111,70409,-11.920736221178052
1860,KENTUCKY,146216,25651,1364,16.61035727964108
1860,LOUISIANA,50510,7625,NA,NA
1860,MAINE,97918,26693,62811,-36.88596580812517
1860,MARYLAND,93234,5953,2895,3.279919342729047
1860,MASSACHUSETTS,169954,34492,106649,-42.45678242347929
1860,MICHIGAN,154747,65057,88480,-15.136319282441663
1860,MINNESOTA,34799,11920,22069,-29.164631167562284
1860,MISSISSIPPI,69120,3283,NA,NA
1860,MISSOURI,165518,58801,17028,25.23773849369857
1860,NEW HAMPSHIRE,65953,25881,37519,-17.64589935256926
1860,NEW JERSEY,121215,62869,58346,3.731386379573487
1860,NEW YORK,675156,312510,362646,-7.425839361569775
1860,NORTH CAROLINA,96230,2701,NA,NA
1860,OHIO,442441,187232,231610,-10.030263922195273
1860,OREGON,15941,4127,5496,-8.587917947431151
1860,PENNSYLVANIA,476442,16765,268030,-52.737793897263465
1860,RHODE ISLAND,19993,7753,12240,-22.44285499924974
1860,SOUTH CAROLINA,NA,NA,NA,NA
1860,TENNESSEE,148574,11428,NA,NA
1860,TEXAS,62986,NA,NA,NA
1860,VERMONT,44712,8748,33888,-56.226516371443914
