countyname,year,total,party,pct,fips
ADAMS,1852,197,WHIG,56.34517766497462,NA
ADAMS,1852,197,DEMOCRAT,43.65482233502538,NA
ADAMS,1856,2225,DEMOCRAT,28.08988764044944,NA
ADAMS,1856,2225,MODERN REPUBLICAN,71.50561797752809,NA
ADAMS,1856,2225,AMERICAN,0.40449438202247195,NA
ADAMS,1860,1145,DEMOCRAT,25.851528384279476,NA
ADAMS,1860,1145,MODERN REPUBLICAN,73.7117903930131,NA
ADAMS,1860,1145,SOUTHERN DEMOCRAT,0.43668122270742354,NA
ADAMS,1864,803,DEMOCRAT,27.646326276463263,NA
ADAMS,1864,803,UNION REPUBLICAN,72.35367372353674,NA
ADAMS,1868,1278,DEMOCRAT,25.039123630672925,NA
ADAMS,1868,1278,MODERN REPUBLICAN,74.96087636932708,NA
ADAMS,1872,1119,MODERN REPUBLICAN,79.08847184986595,NA
ADAMS,1872,1119,LIBERAL REPUBLICAN,20.822162645218945,NA
ADAMS,1872,1119,STRAIGHT DEMOCRAT,0.08936550491510277,NA
ADAMS,1876,1433,DEMOCRAT,30.844382414515003,NA
ADAMS,1876,1433,MODERN REPUBLICAN,68.45778087927425,NA
ADAMS,1876,1433,GREENBACK,0.48848569434752265,NA
ADAMS,1876,1433,SCATTERING,0.20935101186322402,NA
ADAMS,1880,1377,DEMOCRAT,24.909222948438632,NA
ADAMS,1880,1377,MODERN REPUBLICAN,72.18591140159768,NA
ADAMS,1880,1377,GREENBACK,2.904865649963689,NA
ADAMS,1884,1470,DEMOCRAT,30.8843537414966,NA
ADAMS,1884,1470,MODERN REPUBLICAN,68.16326530612244,NA
ADAMS,1884,1470,GREENBACK,0.3401360544217687,NA
ADAMS,1884,1470,PROHIBITION,0.6122448979591837,NA
ASHLAND,1860,67,DEMOCRAT,47.76119402985074,NA
ASHLAND,1860,67,MODERN REPUBLICAN,52.23880597014925,NA
ASHLAND,1864,43,DEMOCRAT,67.44186046511628,NA
ASHLAND,1864,43,UNION REPUBLICAN,32.55813953488372,NA
ASHLAND,1868,39,DEMOCRAT,76.92307692307693,NA
ASHLAND,1868,39,MODERN REPUBLICAN,23.076923076923077,NA
ASHLAND,1872,129,MODERN REPUBLICAN,66.66666666666666,NA
ASHLAND,1872,129,LIBERAL REPUBLICAN,33.33333333333333,NA
ASHLAND,1876,298,DEMOCRAT,63.42281879194631,NA
ASHLAND,1876,298,MODERN REPUBLICAN,36.577181208053695,NA
ASHLAND,1880,425,DEMOCRAT,52.470588235294116,NA
ASHLAND,1880,425,MODERN REPUBLICAN,47.529411764705884,NA
ASHLAND,1884,1772,DEMOCRAT,37.92325056433409,NA
ASHLAND,1884,1772,MODERN REPUBLICAN,61.17381489841986,NA
ASHLAND,1884,1772,PROHIBITION,0.9029345372460496,NA
BARRON/DALLAS,1872,158,MODERN REPUBLICAN,75.9493670886076,NA
BARRON/DALLAS,1872,158,LIBERAL REPUBLICAN,24.050632911392405,NA
BARRON/DALLAS,1876,901,DEMOCRAT,28.523862375138737,NA
BARRON/DALLAS,1876,901,MODERN REPUBLICAN,71.47613762486127,NA
BARRON/DALLAS,1880,1430,DEMOCRAT,27.55244755244755,NA
BARRON/DALLAS,1880,1430,MODERN REPUBLICAN,71.81818181818181,NA
BARRON/DALLAS,1880,1430,GREENBACK,0.6293706293706294,NA
BARRON/DALLAS,1884,2578,DEMOCRAT,30.721489526764934,NA
BARRON/DALLAS,1884,2578,MODERN REPUBLICAN,65.82622187742436,NA
BARRON/DALLAS,1884,2578,GREENBACK,0.7370054305663305,NA
BARRON/DALLAS,1884,2578,PROHIBITION,2.7152831652443754,NA
BAYFIELD/LA POINT,1868,44,DEMOCRAT,54.54545454545454,NA
BAYFIELD/LA POINT,1868,44,MODERN REPUBLICAN,45.45454545454545,NA
BAYFIELD/LA POINT,1872,131,MODERN REPUBLICAN,67.93893129770993,NA
BAYFIELD/LA POINT,1872,131,LIBERAL REPUBLICAN,32.06106870229007,NA
BAYFIELD/LA POINT,1876,160,DEMOCRAT,46.25,NA
BAYFIELD/LA POINT,1876,160,MODERN REPUBLICAN,53.75,NA
BAYFIELD/LA POINT,1880,164,DEMOCRAT,52.4390243902439,NA
BAYFIELD/LA POINT,1880,164,MODERN REPUBLICAN,47.5609756097561,NA
BAYFIELD/LA POINT,1884,675,DEMOCRAT,36,NA
BAYFIELD/LA POINT,1884,675,MODERN REPUBLICAN,63.85185185185185,NA
BAYFIELD/LA POINT,1884,675,PROHIBITION,0.14814814814814814,NA
BROWN,1848,557,WHIG,42.72890484739677,NA
BROWN,1848,557,DEMOCRAT,55.475763016157984,NA
BROWN,1848,557,FREE SOIL,1.7953321364452424,NA
BROWN,1852,847,WHIG,38.488783943329395,NA
BROWN,1852,847,DEMOCRAT,60.80283353010626,NA
BROWN,1852,847,FREE SOIL,0.70838252656434475,NA
BROWN,1856,1503,DEMOCRAT,66.79973386560214,NA
BROWN,1856,1503,MODERN REPUBLICAN,33.20026613439787,NA
BROWN,1860,2112,DEMOCRAT,58.66477272727273,NA
BROWN,1860,2112,MODERN REPUBLICAN,41.33522727272727,NA
BROWN,1864,2016,DEMOCRAT,63.78968253968254,NA
BROWN,1864,2016,UNION REPUBLICAN,36.21031746031746,NA
BROWN,1868,3825,DEMOCRAT,52.78431372549019,NA
BROWN,1868,3825,MODERN REPUBLICAN,47.21568627450981,NA
BROWN,1872,4900,MODERN REPUBLICAN,54.9795918367347,NA
BROWN,1872,4900,LIBERAL REPUBLICAN,44.59183673469388,NA
BROWN,1872,4900,STRAIGHT DEMOCRAT,0.4285714285714286,NA
BROWN,1876,6402,DEMOCRAT,56.96657294595438,NA
BROWN,1876,6402,MODERN REPUBLICAN,43.03342705404561,NA
BROWN,1880,5828,DEMOCRAT,52.05902539464653,NA
BROWN,1880,5828,MODERN REPUBLICAN,46.03637611530542,NA
BROWN,1880,5828,GREENBACK,1.904598490048044,NA
BROWN,1884,6704,DEMOCRAT,54.90751789976134,NA
BROWN,1884,6704,MODERN REPUBLICAN,43.943914081145586,NA
BROWN,1884,6704,GREENBACK,0.4922434367541766,NA
BROWN,1884,6704,PROHIBITION,0.6563245823389021,NA
BUFFALO,1856,231,DEMOCRAT,70.56277056277057,NA
BUFFALO,1856,231,MODERN REPUBLICAN,29.43722943722944,NA
BUFFALO,1860,650,CONSTITUTIONAL UNION,0.15384615384615385,NA
BUFFALO,1860,650,DEMOCRAT,29.076923076923077,NA
BUFFALO,1860,650,MODERN REPUBLICAN,70.61538461538461,NA
BUFFALO,1860,650,SOUTHERN DEMOCRAT,0.15384615384615385,NA
BUFFALO,1864,881,DEMOCRAT,32.2360953461975,NA
BUFFALO,1864,881,UNION REPUBLICAN,67.7639046538025,NA
BUFFALO,1868,1547,DEMOCRAT,29.347123464770526,NA
BUFFALO,1868,1547,MODERN REPUBLICAN,70.65287653522948,NA
BUFFALO,1872,1734,MODERN REPUBLICAN,48.615916955017305,NA
BUFFALO,1872,1734,LIBERAL REPUBLICAN,49.653979238754324,NA
BUFFALO,1872,1734,STRAIGHT DEMOCRAT,1.7301038062283738,NA
BUFFALO,1876,2440,DEMOCRAT,47.622950819672134,NA
BUFFALO,1876,2440,MODERN REPUBLICAN,48.60655737704918,NA
BUFFALO,1876,2440,GREENBACK,0.20491803278688525,NA
BUFFALO,1876,2440,SCATTERING,3.5655737704918034,NA
BUFFALO,1880,2426,DEMOCRAT,34.50123660346249,NA
BUFFALO,1880,2426,MODERN REPUBLICAN,65.45754328112119,NA
BUFFALO,1880,2426,GREENBACK,0.041220115416323165,NA
BUFFALO,1884,2803,DEMOCRAT,43.70317516946129,NA
BUFFALO,1884,2803,MODERN REPUBLICAN,55.08383874420264,NA
BUFFALO,1884,2803,GREENBACK,1.1059579022475918,NA
BUFFALO,1884,2803,PROHIBITION,0.10702818408847663,NA
BURNETT,1868,78,DEMOCRAT,6.41025641025641,NA
BURNETT,1868,78,MODERN REPUBLICAN,93.58974358974359,NA
BURNETT,1872,167,MODERN REPUBLICAN,95.80838323353294,NA
BURNETT,1872,167,LIBERAL REPUBLICAN,4.191616766467066,NA
BURNETT,1876,313,DEMOCRAT,8.945686900958465,NA
BURNETT,1876,313,MODERN REPUBLICAN,91.05431309904152,NA
BURNETT,1880,426,DEMOCRAT,13.380281690140844,NA
BURNETT,1880,426,MODERN REPUBLICAN,86.61971830985915,NA
BURNETT,1884,635,DEMOCRAT,4.251968503937007,NA
BURNETT,1884,635,MODERN REPUBLICAN,94.64566929133859,NA
BURNETT,1884,635,GREENBACK,0.9448818897637795,NA
BURNETT,1884,635,PROHIBITION,0.15748031496062992,NA
CALUMET,1848,144,WHIG,45.13888888888889,NA
CALUMET,1848,144,DEMOCRAT,54.861111111111114,NA
CALUMET,1852,486,WHIG,35.18518518518518,NA
CALUMET,1852,486,DEMOCRAT,60.49382716049383,NA
CALUMET,1852,486,FREE SOIL,4.320987654320987,NA
CALUMET,1856,895,DEMOCRAT,45.58659217877095,NA
CALUMET,1856,895,MODERN REPUBLICAN,54.30167597765363,NA
CALUMET,1856,895,AMERICAN,0.11173184357541899,NA
CALUMET,1860,1311,DEMOCRAT,46.14797864225782,NA
CALUMET,1860,1311,MODERN REPUBLICAN,53.85202135774219,NA
CALUMET,1864,1162,DEMOCRAT,61.79001721170396,NA
CALUMET,1864,1162,UNION REPUBLICAN,38.209982788296045,NA
CALUMET,1868,2121,DEMOCRAT,53.55964167845356,NA
CALUMET,1868,2121,MODERN REPUBLICAN,46.44035832154644,NA
CALUMET,1872,2075,MODERN REPUBLICAN,36.48192771084338,NA
CALUMET,1872,2075,LIBERAL REPUBLICAN,63.27710843373494,NA
CALUMET,1872,2075,STRAIGHT DEMOCRAT,0.24096385542168677,NA
CALUMET,1876,3157,DEMOCRAT,67.94425087108013,NA
CALUMET,1876,3157,MODERN REPUBLICAN,32.05574912891986,NA
CALUMET,1880,3249,DEMOCRAT,61.28039396737458,NA
CALUMET,1880,3249,MODERN REPUBLICAN,35.426285010772546,NA
CALUMET,1880,3249,GREENBACK,3.2933210218528775,NA
CALUMET,1884,3281,DEMOCRAT,65.10210301737274,NA
CALUMET,1884,3281,MODERN REPUBLICAN,29.16793660469369,NA
CALUMET,1884,3281,GREENBACK,4.266991770801585,NA
CALUMET,1884,3281,PROHIBITION,1.462968607131972,NA
CHIPPEWA,1860,497,DEMOCRAT,48.49094567404427,NA
CHIPPEWA,1860,497,MODERN REPUBLICAN,51.50905432595574,NA
CHIPPEWA,1864,498,DEMOCRAT,58.835341365461844,NA
CHIPPEWA,1864,498,UNION REPUBLICAN,41.164658634538156,NA
CHIPPEWA,1868,1369,DEMOCRAT,50.54784514243974,NA
CHIPPEWA,1868,1369,MODERN REPUBLICAN,49.45215485756027,NA
CHIPPEWA,1872,1812,MODERN REPUBLICAN,57.671081677704194,NA
CHIPPEWA,1872,1812,LIBERAL REPUBLICAN,42.328918322295806,NA
CHIPPEWA,1876,3370,DEMOCRAT,52.640949554896146,NA
CHIPPEWA,1876,3370,MODERN REPUBLICAN,47.359050445103854,NA
CHIPPEWA,1880,3195,DEMOCRAT,47.32394366197183,NA
CHIPPEWA,1880,3195,MODERN REPUBLICAN,46.478873239436616,NA
CHIPPEWA,1880,3195,GREENBACK,6.197183098591549,NA
CHIPPEWA,1884,5149,DEMOCRAT,48.55311711011847,NA
CHIPPEWA,1884,5149,MODERN REPUBLICAN,49.4270732181006,NA
CHIPPEWA,1884,5149,GREENBACK,1.0875898232666537,NA
CHIPPEWA,1884,5149,PROHIBITION,0.9322198485142745,NA
CLARK,1856,110,DEMOCRAT,33.63636363636363,NA
CLARK,1856,110,MODERN REPUBLICAN,66.36363636363637,NA
